#,Index No,Result
1,20021224,F
2,21020019,F
3,21020027,B+
4,21020035,B-
5,21020043,F
6,21020051,C-
7,21020061,F
8,21020078,C
9,21020086,B
10,21020094,C+
11,21020108,B
12,21020116,B
13,21020124,F
14,21020132,B-
15,21020142,A
16,21020159,F
17,21020167,F
18,21020175,D+
19,21020183,C-
20,21020191,A
21,21020205,C-
22,21020213,C
23,21020221,C+
24,21020231,D
25,21020248,F
26,21020256,C
27,21020264,F
28,21020272,C+
29,21020282,B
30,21020299,F
31,21020302,A-
32,21020312,A-
33,21020329,D
34,21020337,A-
35,21020345,B-
36,21020353,B-
37,21020361,C-
38,21020371,D
39,21020388,C-
40,21020396,F
41,21020401,D
42,21020418,F
43,21020426,F
44,21020434,B+
45,21020442,F
46,21020452,C
47,21020469,B-
48,21020477,F
49,21020485,B-
50,21020493,C
51,21020507,F
52,21020515,F
53,21020523,D
54,21020531,D
55,21020541,B-
56,21020558,D+
57,21020566,C+
58,21020574,F
59,21020582,F
60,21020592,B
61,21020604,C
62,21020612,F
63,21020622,D+
64,21020639,F
65,21020647,F
66,21020655,F
67,21020663,F
68,21020671,F
69,21020681,C
70,21020698,C
71,21020701,F
72,21020711,C
73,21020728,F
74,21020736,B
75,21020744,F
76,21020752,F
77,21020762,D+
78,21020779,A
79,21020787,F
80,21020795,F
81,21020809,D+
82,21020817,F
83,21020825,F
84,21020833,D
85,21020841,C+
86,21020851,D+
87,21020868,F
88,21020876,B
89,21020884,F
90,21020892,C+
91,21020906,B-
92,21020914,D+
93,21020922,D
94,21020932,F
95,21020949,D
96,21020957,F
97,21020965,A-
98,21020973,C
99,21020981,F
100,21020991,C+
101,21021007,B-
102,21021015,C+
103,21021023,A-
104,21021031,F
105,21021041,F
106,21021058,E
107,21021066,B-
108,21021074,F
109,21021082,F
110,18020151,F
111,18020321,C-
112,19020104,C
113,19020122,F
114,19020171,F
115,19020244,C-
116,19020309,D
117,19020813,F
118,19020929,E
119,20020023,F
120,20020074,C-
121,20020082,F
122,20020092,D+
123,20020104,C-
124,20020122,D+
125,20020163,F
126,20020198,F
127,20020201,C-
128,20020279,C-
129,20020317,C+
130,20020325,C+
131,20020351,C
132,20020368,F
133,20020392,D+
134,20020457,C
135,20020465,C
136,20020481,C
137,20020503,C
138,20020511,B-
139,20020572,D+
140,20020589,C
141,20020627,F
142,20020635,D+
143,20020643,C+
144,20020661,C-
145,20020716,C
146,20020759,C
147,20020767,B-
148,20020805,C
149,20020821,D+
150,20020831,C-
151,20020848,C-
152,20020872,B-
153,20020882,C
154,20020899,D+
155,20020912,D+
156,20020929,C
157,20020945,C-
158,20020953,D+
159,20021021,F
160,20021038,F
161,20021046,D+
162,20021062,C
163,20021089,C
164,20021102,F
165,20021119,F
166,20021151,C-
167,20021161,F
168,20021178,F
169,20021186,F
170,20021194,F
171,20021216,D+
172,20020732,D
