#,Index No,Result
1,19000308,F
2,19000634,B-
3,19000693,F
4,19001012,B-
5,19001509,B-
6,19001959,A
7,19001363,F
8,20000014,A+
9,20000022,A
10,20000032,C
11,20000049,B+
12,20000057,B-
13,20000065,B-
14,20000073,A
15,20000081,B+
16,20000091,B+
17,20000103,A
18,20000111,A
19,20000121,A
20,20000138,B
21,20000146,A
22,20000154,A
23,20000162,A
24,20000172,A
25,20000189,A
26,20000197,A
27,20000202,B+
28,20000219,B
29,20000227,C-
30,20000235,C
31,20000243,B+
32,20000251,A
33,20000261,B-
34,20000278,A
35,20000286,A
36,20000294,C+
37,20000308,A-
38,20000316,A
39,20000324,B
40,20000332,A-
41,20000342,B+
42,20000359,A
43,20000367,A
44,20000375,A-
45,20000383,A-
46,20000391,A-
47,20000405,B-
48,20000413,A
49,20000421,A-
50,20000431,A
51,20000448,A
52,20000456,B+
53,20000464,C
54,20000472,A-
55,20000482,A
56,20000499,A
57,20000502,B+
58,20000512,A+
59,20000529,A
60,20000537,B
61,20000545,A
62,20000553,B
63,20000571,B+
64,20000588,B
65,20000596,A-
66,20000601,B+
67,20000618,A-
68,20000626,B-
69,20000634,A-
70,20000642,A
71,20000652,C+
72,20000669,A
73,20000677,B
74,20000685,A-
75,20000693,B-
76,20000707,B
77,20000715,A-
78,20000723,A
79,20000731,B-
80,20000741,A
81,20000758,B
82,20000766,A
83,20000774,C+
84,20000782,A+
85,20000792,A-
86,20000804,A
87,20000812,B
88,20000822,A
89,20000839,B-
90,20000847,A-
91,20000855,B-
92,20000863,A-
93,20000871,F
94,20000881,A
95,20000898,B-
96,20000901,A
97,20000911,C+
98,20000928,A
99,20000936,C+
100,20000944,B
101,20000952,C+
102,20000962,A
103,20000979,C+
104,20000987,B-
105,20000995,A-
106,20001002,A
107,20001012,B-
108,20001029,A-
109,20001037,A-
110,20001045,A-
111,20001053,A
112,20001061,A
113,20001071,B
114,20001096,B
115,20001101,B
116,20001118,A-
117,20001126,B
118,20001134,A
119,20001142,A-
120,20001152,C-
121,20001169,A-
122,20001177,A
123,20001185,A-
124,20001193,A
125,20001207,A
126,20001215,B
127,20001223,A+
128,20001231,A
129,20001241,C+
130,20001258,A-
131,20001266,B
132,20001274,C+
133,20001282,F
134,20001292,A
135,20001304,B
136,20001312,B+
137,20001322,B
138,20001339,A-
139,20001347,A
140,20001355,D+
141,20001363,C
142,20001371,A
143,20001381,A-
144,20001398,B
145,20001401,B
146,20001411,A-
147,20001428,B-
148,20001436,A
149,20001444,B+
150,20001452,C+
151,20001462,B-
152,20001479,B+
153,20001487,B-
154,20001495,A
155,20001509,A
156,20001525,A
157,20001533,B
158,20001541,A
159,20001551,A
160,20001568,A-
161,20001576,C+
162,20001584,B
163,20001606,B-
164,20001614,B-
165,20001622,C+
166,20001632,A
167,20001649,B+
168,20001657,B-
169,20001665,A
170,20001673,A-
171,20001681,A
172,20001691,A-
173,20001703,F
174,20001711,A
175,20001721,B+
176,20001738,B-
177,20001746,B
178,20001754,B+
179,20001762,A
180,20001772,A-
181,20001789,A
182,20001797,B
183,20001802,C+
184,20001819,A
185,20001827,C
186,20001835,A
187,20001843,A-
188,20001851,B+
189,20001861,C-
190,20001878,A-
191,20001886,B-
192,20001894,A-
193,20001908,A-
194,20001916,B+
195,20001924,A
196,20001932,A
197,20001942,B-
198,20001959,A
199,20001967,C+
200,20001975,B
201,20001983,C+
202,20001991,C
203,20002009,A-
204,20002017,B+
205,20002025,A
206,20002033,A
207,20002041,A+
208,20002051,A
209,20002068,A-
210,20002076,A
211,20002084,A
212,20002092,A-
213,20002106,C
214,20002114,A
215,20002122,A
216,20002132,A-
217,20002149,A-
218,20002157,B
219,20002165,B
220,20002173,B-
221,20002181,A
222,20002191,A
223,20002203,B+
224,20002211,A-
225,20002221,B-
226,20002238,B
227,20002246,C+
228,17001536,F
229,18000037,C+
230,18000772,B+
231,18001302,A-
232,18001319,F
233,18001947,B-
234,18001955,B-
235,19000057,A
236,19000154,E
237,19000202,C+
238,19000758,C+
239,19000766,A-
240,19000901,C-
241,19000952,F
242,19001231,C
243,19001304,A
244,19001584,C+
245,19001665,C-
246,19001691,F
247,19001703,F
248,19001975,B
