,Index,Grade
1,19000138,F
2,19001363,E
3,20000014,A+
4,20000022,B
5,20000032,E
6,20000049,A
7,20000057,B-
8,20000065,C
9,20000073,A
10,20000081,C
11,20000091,D+
12,20000103,A
13,20000111,B-
14,20000121,E
15,20000138,D
16,20000146,A
17,20000154,B-
18,20000162,C+
19,20000172,A-
20,20000189,D
21,20000197,C+
22,20000202,C
23,20000219,C
24,20000227,E
25,20000235,E
26,20000243,D
27,20000251,A
28,20000261,E
29,20000278,C
30,20000286,A-
31,20000294,C-
32,20000308,A-
33,20000316,A
34,20000324,D
35,20000332,C+
36,20000342,D+
37,20000359,C
38,20000367,A+
39,20000375,B
40,20000383,E
41,20000391,C
42,20000405,E
43,20000413,A-
44,20000421,C+
45,20000431,A-
46,20000448,C
47,20000456,C-
48,20000464,E
49,20000472,B
50,20000482,C
51,20000499,A
52,20000502,B-
53,20000512,A+
54,20000529,C-
55,20000537,B-
56,20000545,B+
57,20000553,C
58,20000561,F
59,20000571,B-
60,20000588,C
61,20000596,C
62,20000601,D+
63,20000618,B
64,20000626,D+
65,20000634,F
66,20000642,C
67,20000652,B-
68,20000669,A
69,20000677,E
70,20000685,C-
71,20000693,C
72,20000707,C
73,20000715,B+
74,20000723,D+
75,20000731,D+
76,20000741,A
77,20000758,E
78,20000766,C
79,20000774,E
80,20000782,A
81,20000792,A
82,20000804,B-
83,20000812,E
84,20000822,C
85,20000839,C
86,20000847,B
87,20000855,D+
88,20000863,C+
89,20000871,F
90,20000881,C
91,20000898,E
92,20000901,C
93,20000911,D+
94,20000928,A
95,20000936,D
96,20000944,C-
97,20000952,D
98,20000962,B-
99,20000979,D
100,20000987,A
101,20000995,C
102,20001002,B-
103,20001012,E
104,20001029,C+
105,20001037,B+
106,20001045,C
107,20001053,A
108,20001061,B+
109,20001071,C-
110,20001088,F
111,20001096,D+
112,20001101,D
113,20001118,C+
114,20001126,D+
115,20001134,B-
116,20001142,F
117,20001152,E
118,20001169,D+
119,20001177,C-
120,20001185,C+
121,20001193,A
122,20001207,B+
123,20001215,D+
124,20001223,A+
125,20001231,C+
126,20001241,E
127,20001258,D+
128,20001266,D+
129,20001274,E
130,20001282,F
131,20001292,B
132,20001304,C+
133,20001312,D
134,20001322,C
135,20001339,C-
136,20001347,A
137,20001355,E
138,20001363,C
139,20001371,C
140,20001381,B+
141,20001398,C
142,20001401,D
143,20001411,B
144,20001428,E
145,20001436,C
146,20001444,D+
147,20001452,C
148,20001462,B
149,20001479,E
150,20001487,D+
151,20001495,B+
152,20001509,A
153,20001517,D+
154,20001525,A
155,20001533,C
156,20001541,A
157,20001551,C+
158,20001568,B
159,20001576,C
160,20001584,D
161,20001592,F
162,20001606,D
163,20001614,F
164,20001622,E
165,20001632,C
166,20001649,D
167,20001657,C
168,20001665,A
169,20001673,B
170,20001681,A
171,20001691,C
172,20001703,F
173,20001711,C
174,20001721,D
175,20001738,C
176,20001746,C
177,20001754,B
178,20001762,B+
179,20001772,C+
180,20001789,C
181,20001797,A-
182,20001802,D
183,20001819,B
184,20001827,B-
185,20001835,A
186,20001843,D
187,20001851,C
188,20001861,E
189,20001878,C+
190,20001886,E
191,20001894,C
192,20001908,A-
193,20001916,D
194,20001924,A-
195,20001932,D
196,20001942,A-
197,20001959,B-
198,20001967,D
199,20001975,D
200,20001983,C
201,20001991,D
202,20002009,A
203,20002017,E
204,20002025,A
205,20002033,A
206,20002041,A-
207,20002051,A
208,20002068,A
209,20002076,B
210,20002084,B
211,20002092,C
212,20002106,E
213,20002114,B-
214,20002122,B-
215,20002132,C
216,20002149,B-
217,20002157,B
218,20002165,B
219,20002173,F
220,20002181,A-
221,20002191,A
222,20002203,D+
223,20002211,B-
224,20002221,D
225,20002238,D+
226,20002246,C
227,14001292,C+
228,15000062,F
229,17000904,E
230,17001005,C-
231,17001145,D
232,17001536,C-
233,18000381,B-
234,18001106,F
235,18001246,F
236,18001319,F
237,18001394,B
238,18001483,D+
239,18001491,E
240,18001892,D+
241,18001947,D+
242,19000022,F
243,19000146,E
244,19000154,C-
245,19000227,F
246,19000235,B
247,19000308,F
248,19000342,F
249,19000512,E
250,19000571,F
251,19000601,F
252,19000634,D
253,19000707,D+
254,19000758,C+
255,19000766,F
256,19000792,C
257,19000804,F
258,19000871,F
259,19000901,F
260,19000936,C
261,19001012,D
262,19001029,F
263,19001215,B
264,19001231,D
265,19001282,F
266,19001509,E
267,19001533,F
268,19001541,B+
269,19001584,F
270,19001691,F
271,19001703,F
272,19001711,D
273,19001843,D
274,19001908,C+
275,19001967,C
276,18001025,E
