,Index,Grade
1,19000138,F
2,19001363,E
3,20000014,A
4,20000022,B-
5,20000032,D
6,20000049,B
7,20000057,C+
8,20000065,D+
9,20000073,A-
10,20000081,B+
11,20000091,C-
12,20000103,A
13,20000111,B+
14,20000121,E
15,20000138,C+
16,20000146,B+
17,20000154,B+
18,20000162,B+
19,20000172,A-
20,20000189,C
21,20000197,B
22,20000202,C
23,20000219,A-
24,20000227,C+
25,20000235,D
26,20000243,B-
27,20000251,A
28,20000261,F
29,20000278,C
30,20000286,A-
31,20000294,D+
32,20000308,A
33,20000316,A
34,20000324,D+
35,20000332,C+
36,20000342,C+
37,20000359,A
38,20000367,A
39,20000375,A
40,20000383,C
41,20000391,B
42,20000405,E
43,20000413,A-
44,20000421,A-
45,20000431,A
46,20000448,B
47,20000456,B-
48,20000464,E
49,20000472,B-
50,20000482,B-
51,20000499,A-
52,20000502,C+
53,20000512,A
54,20000529,B-
55,20000537,B+
56,20000545,A
57,20000553,C+
58,20000561,F
59,20000571,B-
60,20000588,C
61,20000596,C+
62,20000601,C
63,20000618,B+
64,20000626,B-
65,20000634,B
66,20000642,B+
67,20000652,B-
68,20000669,B
69,20000677,E
70,20000685,B-
71,20000693,B+
72,20000707,A
73,20000715,B+
74,20000723,B
75,20000731,C
76,20000741,A
77,20000758,D+
78,20000766,B-
79,20000774,C
80,20000782,A
81,20000792,A
82,20000804,B+
83,20000812,C+
84,20000822,A
85,20000839,C
86,20000847,A
87,20000855,C+
88,20000863,B
89,20000871,F
90,20000881,C
91,20000898,B-
92,20000901,B
93,20000911,D
94,20000928,B+
95,20000936,E
96,20000944,B
97,20000952,C
98,20000962,B-
99,20000979,C
100,20000987,A
101,20000995,B+
102,20001002,B
103,20001012,D+
104,20001029,B-
105,20001037,C
106,20001045,C
107,20001053,A
108,20001061,C+
109,20001071,C
110,20001088,F
111,20001096,C
112,20001101,C+
113,20001118,B-
114,20001126,B-
115,20001134,C
116,20001142,A-
117,20001152,D+
118,20001169,B
119,20001177,B+
120,20001185,B
121,20001193,A
122,20001207,A-
123,20001215,C
124,20001223,A
125,20001231,B+
126,20001241,C
127,20001258,A-
128,20001266,B+
129,20001274,F
130,20001282,F
131,20001292,A
132,20001304,B-
133,20001312,B+
134,20001322,C
135,20001339,C
136,20001347,A
137,20001355,D+
138,20001363,C+
139,20001371,C+
140,20001381,A
141,20001398,B
142,20001401,B
143,20001411,B+
144,20001428,B
145,20001436,B
146,20001444,C+
147,20001452,B+
148,20001462,B
149,20001479,D
150,20001487,C+
151,20001495,A
152,20001509,A
153,20001517,D+
154,20001525,A
155,20001533,C
156,20001541,B
157,20001551,B+
158,20001568,B
159,20001576,C
160,20001584,C
161,20001592,F
162,20001606,C+
163,20001614,D+
164,20001622,D+
165,20001632,F
166,20001649,C
167,20001657,B+
168,20001665,B+
169,20001673,B
170,20001681,B+
171,20001691,C+
172,20001703,F
173,20001711,C+
174,20001721,C
175,20001738,C
176,20001746,C
177,20001754,D+
178,20001762,A
179,20001772,C+
180,20001789,D+
181,20001797,B-
182,20001802,C+
183,20001819,B
184,20001827,B
185,20001835,A
186,20001843,E
187,20001851,B-
188,20001861,D+
189,20001878,B-
190,20001886,D
191,20001894,B+
192,20001908,B
193,20001916,B-
194,20001924,B-
195,20001932,C+
196,20001942,B
197,20001959,C+
198,20001967,C
199,20001975,B-
200,20001983,C
201,20001991,C-
202,20002009,A
203,20002017,C
204,20002025,B
205,20002033,A
206,20002041,A+
207,20002051,A
208,20002068,B
209,20002076,B
210,20002084,B+
211,20002092,B
212,20002106,D
213,20002114,C
214,20002122,B
215,20002132,C+
216,20002149,B
217,20002157,B
218,20002165,C
219,20002173,C+
220,20002181,A
221,20002191,B+
222,20002203,B
223,20002211,B
224,20002221,D
225,20002238,B
226,20002246,E
227,14001292,C
228,18000037,D+
229,19000342,F
230,19000545,F
231,19000634,C
232,19001509,D+
233,19001703,F
234,19001843,C+
