#,Index No,Result
1,20000561,B-
2,20001088,B
3,20001592,C-
4,21000018,C+
5,21000026,C-
6,21000034,B
7,21000042,B
8,21000052,B-
9,21000069,F
10,21000077,A-
11,21000085,A-
12,21000093,B
13,21000107,A-
14,21000115,B
15,21000123,B-
16,21000131,A
17,21000141,B
18,21000158,C-
19,21000166,B-
20,21000174,B
21,21000182,C
22,21000192,B+
23,21000204,C-
24,21000212,A-
25,21000222,C
26,21000239,C
27,21000247,A-
28,21000255,C+
29,21000263,B
30,21000271,D+
31,21000281,D+
32,21000298,C+
33,21000301,E
34,21000311,D
35,21000328,B+
36,21000336,C-
37,21000344,B+
38,21000352,E
39,21000362,F
40,21000379,B+
41,21000387,F
42,21000395,A
43,21000409,D+
44,21000417,C
45,21000425,C+
46,21000433,B-
47,21000441,C
48,21000451,A-
49,21000468,B+
50,21000476,C
51,21000484,C-
52,21000492,C
53,21000506,C-
54,21000514,C+
55,21000522,B
56,21000532,A
57,21000549,C
58,21000557,A
59,21000565,C+
60,21000573,C+
61,21000581,D+
62,21000591,C
63,21000603,A
64,21000611,B
65,21000621,B+
66,21000638,B-
67,21000646,B+
68,21000654,A-
69,21000662,C
70,21000672,B-
71,21000689,D+
72,21000697,B+
73,21000702,D+
74,21000719,F
75,21000727,C+
76,21000735,C+
77,21000743,B+
78,21000751,C+
79,21000761,F
80,21000778,B
81,21000786,D+
82,21000794,A-
83,21000808,C+
84,21000816,B-
85,21000824,A-
86,21000832,A-
87,21000842,B
88,21000859,B+
89,21000867,C
90,21000875,A-
91,21000883,B+
92,21000891,B
93,21000905,A-
94,21000913,B+
95,21000921,C+
96,21000931,B-
97,21000948,C+
98,21000956,F
99,21000964,B-
100,21000972,F
101,21000982,B
102,21000999,C+
103,21001006,F
104,21001014,A+
105,21001022,C
106,21001032,B
107,21001049,B-
108,21001057,B
109,21001065,B-
110,21001073,B+
111,21001081,B
112,21001091,A-
113,21001103,B+
114,21001111,C-
115,21001121,C+
116,21001138,A
117,21001146,C+
118,21001154,A
119,21001162,B+
120,21001172,A
121,21001189,F
122,21001197,D+
123,21001202,B-
124,21001219,F
125,21001227,C-
126,21001235,B-
127,21001243,B-
128,21001251,D+
129,21001261,F
130,21001278,A-
131,21001286,C+
132,21001294,B
133,21001308,A-
134,21001316,C
135,21001324,B+
136,21001332,B+
137,21001342,A-
138,21001359,D
139,21001367,C-
140,21001375,B+
141,21001383,F
142,21001391,B+
143,21001405,C-
144,21001413,F
145,21001421,B-
146,21001431,C-
147,21001448,B-
148,21001456,F
149,21001464,B-
150,21001472,B-
151,21001482,C+
152,21001499,A-
153,21001502,B-
154,21001512,C+
155,21001529,B
156,21001537,C
157,21001545,B-
158,21001553,B
159,21001561,B+
160,21001571,D
161,21001588,C
162,21001596,A-
163,21001601,B-
164,21001618,C-
165,21001626,D
166,21001634,C+
167,21001642,F
168,21001652,B+
169,21001669,B+
170,21001677,C
171,21001685,B
172,21001693,C
173,21001707,B+
174,21001715,B-
175,21001723,B+
176,21001731,C+
177,21001741,C+
178,21001758,C+
179,21001766,A
180,21001774,C+
181,21001782,B
182,21001792,C+
183,21001804,C+
184,21001812,B-
185,21001822,C-
186,21001839,C-
187,21001847,B+
188,21001855,F
189,21001863,C
190,21001871,A-
191,21001881,B-
192,21001898,F
193,21001901,B+
194,21001911,C+
195,21001928,F
196,21001936,B-
197,21001944,C+
198,21001952,B-
199,21001962,C-
200,21001979,B
201,21001987,C
202,21001995,A-
203,21002002,B
204,21002012,F
205,21002029,A
206,21002037,B-
207,21002045,B
208,21002053,E
209,21002061,C+
210,21002071,A
211,21002088,B-
212,21002096,B
213,21002101,F
214,21002118,C
215,21002126,B+
216,21002134,D+
217,21002142,C
218,21002152,A
219,21002169,B
220,21002177,B-
221,21002185,B+
222,21002193,D+
223,21002207,D
224,21002215,C-
225,21002223,C-
226,21002231,F
227,21002241,A
228,21002258,C-
229,21002266,C
230,21002274,B-
231,17000904,F
232,19000596,F
233,19000693,C
234,19001363,F
235,19001584,C
236,19001703,F
237,19001959,E
238,20000235,D
239,20000261,D+
240,20000464,C
241,20000677,D+
242,20000723,C+
243,20000731,D
244,20000758,D+
245,20000774,F
246,20000898,F
247,20000952,F
248,20000979,D+
249,20001152,F
250,20001428,C-
251,20001479,C+
252,20001614,E
253,20001622,E
254,20001802,D+
255,20001861,D+
256,20001886,E
257,20002017,C-
258,20002106,E
